StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID
2023-08-13 17:33:28,2023-08-13 17:37:28,0,108.95.91.52,100,240,1,2023-08-13 17:37:29,R_1ezQWWf54vkIxkp,,,,,37.9668,-87.4912,anonymous,EN,1,5bf97c5e850b6600018ee221,2,2,2,4,,,,,,,,5,50,70,60,70,The human should always be aware for their safety and not trust the machine,1,2,,3,,36,7,,1,30,5bf97c5e850b6600018ee221
2023-08-13 17:32:47,2023-08-13 17:37:40,0,108.195.175.43,100,293,1,2023-08-13 17:37:41,R_22Rnrv4UEmBy2Fk,,,,,43.9946,-88.526,anonymous,EN,1,5dafe439670a30001634eaa0,2,2,2,4,,,,,,,,4,40,80,55,70,"I think the human is more liable because at the end of the day, they are the ones who are actually responsible for ensuring the car is safe. They’ve gone through driving school, exams, and the license process. Having an automated copilot is not an excuse to be inattentive behind the wheel.",1,1,,3,,24,4,,1,35,5dafe439670a30001634eaa0
2023-08-13 17:34:46,2023-08-13 17:37:50,0,172.58.132.132,100,183,1,2023-08-13 17:37:50,R_21cQvKxbk9GFlUf,,,,,25.8119,-80.2318,anonymous,EN,1,63d40d346609b5cd9433adb7,2,2,2,4,4,90,100,80,100,"I think ultimately the human is more liable, because they have a responsibility to make sure they are driving safely even with an autopilot ",2,,,,,,,,2,,3,,33,4,,1,40,63d40d346609b5cd9433adb7
2023-08-13 17:35:14,2023-08-13 17:38:00,0,174.198.133.2,100,165,1,2023-08-13 17:38:00,R_24wJG4TRx6RHWok,,,,,39.7318,-104.9669,anonymous,EN,1,60fd78cb439f85c6a297f44e,2,2,1,4,5,71,83,61,72,I think both. Aeon is supposed to be automated but as the human you need to still be aware,2,,,,,,,,2,,3,,26,4,,1,17,60fd78cb439f85c6a297f44e
2023-08-13 17:34:56,2023-08-13 17:38:18,0,67.255.119.89,100,202,1,2023-08-13 17:38:18,R_2tujK3fyXetX9k1,,,,,42.3414,-77.3049,anonymous,EN,1,63b35e76636a57e9ca3ee861,2,2,2,1,,,,,,,,5,100,70,100,10,"The company is more liable because the copilot thing should not exist in the first place, it is wrong.",2,2,,3,,58,3,,1,0,63b35e76636a57e9ca3ee861
2023-08-13 17:33:11,2023-08-13 17:38:19,0,174.192.4.189,100,307,1,2023-08-13 17:38:20,R_3lAkrOWGc9f0mrq,,,,,41.5382,-72.8008,anonymous,EN,1,63f13a4fe3a48956ba99d30f,2,2,2,4,5,42,100,0,100,"Even with autopilot the human operating the car is ultimately responsible for anything that happens. ",2,,,,,,,,1,,3,,55,3,,1,70,63f13a4fe3a48956ba99d30f
2023-08-13 17:34:28,2023-08-13 17:38:48,0,199.245.209.140,100,259,1,2023-08-13 17:38:48,R_27sqo5s9vHTBvA5,,,,,38.3029,-85.9617,anonymous,EN,1,5da90f4c0f35db00116e5729,2,2,2,4,,,,,,,,2,91,82,100,100,"I think the driver should have been watching, but I also think the company shouldn't promise this service if it isn't safe.",2,2,,3,,50,4,,1,1,5da90f4c0f35db00116e5729
2023-08-13 17:35:38,2023-08-13 17:39:06,0,68.160.160.120,100,207,1,2023-08-13 17:39:06,R_1GOghxGJwir6ZYR,,,,,42.4337,-71.4568,anonymous,EN,1,53824677fdf99b5112c54d44,2,2,2,4,,,,,,,,4,20,82,24,70,The human takes the majority of the blame for taking his eyes off the road and checking the text. The copilot is not a full substitute for an attentive driver.,1,1,,5,,32,4,,1,20,53824677fdf99b5112c54d44
2023-08-13 17:34:10,2023-08-13 17:39:06,0,68.52.131.156,100,296,1,2023-08-13 17:39:07,R_1MMni1y2e6U4rgd,,,,,37.0368,-88.5934,anonymous,EN,1,5d506e6d4040a40016bb186a,2,2,2,4,3,51,100,51,100,the human is always responsible,2,,,,,,,,1,,3,,77,1,,1,20,5d506e6d4040a40016bb186a
2023-08-13 17:33:58,2023-08-13 17:39:07,0,67.150.46.84,100,309,1,2023-08-13 17:39:08,R_33p4hco0kEKbUGD,,,,,33.9794,-118.0609,anonymous,EN,1,60e0c908309158ea904967d7,2,2,2,4,,,,,,,,2,0,100,0,95,"Technically it is the user's fault which is the driver who was not paying attention. Regardless of the co-pilot technology, the driver should be alert ",2,2,,2,,33,7,,1,61,60e0c908309158ea904967d7
2023-08-13 17:32:56,2023-08-13 17:39:22,0,100.10.64.251,100,385,1,2023-08-13 17:39:22,R_2V8svUgKz6VO1Ew,,,,,41.701,-71.5194,anonymous,EN,1,5ec5880e02a64c5b4102561f,2,2,2,4,,,,,,,,4,0,100,0,100,"The human driver needs to be in control at all times. It's similar to being in cruise control, the car keeps the speed but you can slow it down if needed.",1,1,,3,,39,4,,1,55,5ec5880e02a64c5b4102561f
2023-08-13 17:36:55,2023-08-13 17:39:24,0,66.169.136.213,100,148,1,2023-08-13 17:39:24,R_w122b1Za9Dgely1,,,,,32.7825,-97.2993,anonymous,EN,1,5dd334057f1bbf34e7b67706,2,1,2,4,,,,,,,,2,0,98,1,100,The human is still the final fail safe. It is their own fault.,2,1,,3,,34,5,,1,50,5dd334057f1bbf34e7b67706
2023-08-13 17:16:04,2023-08-13 17:39:32,0,98.170.230.1,100,1407,1,2023-08-13 17:39:32,R_1rc7zuiQmo7Hb0x,,,,,30.7773,-86.4832,anonymous,EN,1,60cbe4524cab3b049343d0bd,2,2,2,4,,,,,,,,4,0,100,0,100,The driver is still the operator of the vehicle.,2,2,,3,,37,2,,1,70,60cbe4524cab3b049343d0bd
2023-08-13 17:36:08,2023-08-13 17:39:46,0,98.32.248.174,100,218,1,2023-08-13 17:39:46,R_2D1v4otOaDOWFsC,,,,,41.9025,-87.6726,anonymous,EN,1,5731410e070de6000842cf61,2,2,2,4,5,85,75,90,80,"The person was using the autopilot feature to get driven home. This means that the autopilot system should have noticed the stop sign, no matter whether or not the person did.",2,,,,,,,,2,,3,,41,5,,1,8,5731410e070de6000842cf61
2023-08-13 17:36:02,2023-08-13 17:39:50,0,76.219.245.196,100,228,1,2023-08-13 17:39:50,R_9BrrCDjMkMJiNTH,,,,,38.581,-121.4939,anonymous,EN,1,628bd28fc02600d0f26d8273,2,2,3,4,,,,,,,,2,40,80,40,100,the driver to responsible for monitoring the road and driving,1,1,,3,,68,3,,1,0,628bd28fc02600d0f26d8273
2023-08-13 17:33:31,2023-08-13 17:39:52,0,23.251.9.173,100,380,1,2023-08-13 17:39:52,R_2bN8QNPWFVtFDZk,,,,,38.3749,-88.0657,anonymous,EN,1,6278856ed61afb01f6e4d0ac,2,1,2,4,,,,,,,,3,55,39,72,46,"Feel like the company is responsible. The human made a mistake, but the computer should’ve realized it",1,1,,3,,51,1,,1,32,6278856ed61afb01f6e4d0ac
2023-08-13 17:35:39,2023-08-13 17:40:00,0,216.30.147.236,100,260,1,2023-08-13 17:40:00,R_d6lM08Gb6943W2l,,,,,37.7443,-81.5842,anonymous,EN,1,606439b84e623d3fa6320bd7,2,2,2,4,4,25,75,50,70,"the human should always pay attention, auto can be wrong",2,,,,,,,,2,,3,,43,2,,1,10,606439b84e623d3fa6320bd7
2023-08-13 17:34:49,2023-08-13 17:40:07,0,67.167.120.194,100,318,1,2023-08-13 17:40:08,R_2wgbQAKHdYABDrc,,,,,42.0807,-88.517,anonymous,EN,1,5e0f69380fb798000a199566,2,2,2,4,,,,,,,,4,50,60,50,90,The human should not have been texting while driving but the copilot should have been able to notice the stop sign.,1,1,,3,,43,3,,1,10,5e0f69380fb798000a199566
2023-08-13 17:34:07,2023-08-13 17:40:40,0,73.25.158.169,100,393,1,2023-08-13 17:40:41,R_3HnmEKXPvZFNZ2v,,,,,45.5288,-122.6821,anonymous,EN,1,5c05a2769af2bc00012b6a65,2,2,2,4,4,70,50,90,50,"I don't really know but I suppose it seems the company is more liable because, i'm assuming, they have presented the autopilot system as safe and effective and is machine guided rather than human guided. But there really needs to be more context here for me to say who is more liable. Was the man told he could ignore the road safely with this autopilot system? Are humans supposed to work with the machine on this task? That isn't made clear here so it's hard to say but im going to assume the company is more at fault in the scenario theyve stated the autopilot is safe and doesn't need to be watched by the human.",2,,,,,,,,2,,3,,29,3,,2,6,5c05a2769af2bc00012b6a65
2023-08-13 17:33:34,2023-08-13 17:40:42,0,149.75.105.117,100,427,1,2023-08-13 17:40:43,R_rqZsQgDxUlIVSQV,,,,,37.9606,-87.5333,anonymous,EN,1,628e3768a418a3b5d079e097,2,2,2,4,3,20,95,25,91,"The human is meant to fix what the AI messes up, so I feel like the human should of not given enough trust to the company. ",2,,,,,,,,1,,3,,27,5,,1,4,628e3768a418a3b5d079e097
2023-08-13 17:39:05,2023-08-13 17:40:51,0,76.106.221.117,100,106,1,2023-08-13 17:40:52,R_1d5GWnAqyplrtxn,,,,,30.0843,-81.8629,anonymous,EN,1,63203d54624a0d83092c7a42,2,2,1,2,4,82,74,76,81,I don't think either are more liable because they both share equal blame,2,,,,,,,,1,,3,,31,1,,2,70,63203d54624a0d83092c7a42
2023-08-13 17:32:23,2023-08-13 17:40:56,0,108.227.56.18,100,513,1,2023-08-13 17:40:57,R_3CNr03Wk2qIxpF6,,,,,35.1499,-90.0558,anonymous,EN,1,60fee7d1e674a0c1c1c7bd3d,2,2,2,4,5,50,50,50,53,"Both Aeon, the company, and the human driver seem to share liability for the accident. The driver's distraction and the Autopilot system's failure to detect the Stop sign both played a role in the collision. It's likely that the extent of liability depends on factors such as the system's design, any warnings provided, and the driver's responsibility to stay attentive while using the technology.",2,,,,,,,,2,,1,,29,3,,1,38,60fee7d1e674a0c1c1c7bd3d
2023-08-13 17:37:59,2023-08-13 17:41:02,0,216.126.212.173,100,183,1,2023-08-13 17:41:03,R_RdWZiFI7YRYVMAN,,,,,44.9834,-93.2622,anonymous,EN,1,614f39b82ccdbdd51c76cc50,2,2,2,4,5,40,40,40,100,"Ultimately, the human is responsible for the operation of the vehicle.",2,,,,,,,,1,,3,,52,3,,1,51,614f39b82ccdbdd51c76cc50
2023-08-13 17:31:28,2023-08-13 17:41:22,0,73.250.227.79,100,593,1,2023-08-13 17:41:22,R_3MFp835fbK3f55g,,,,,39.109,-77.2489,anonymous,EN,1,568f260a7d961b000d96976c,2,2,2,4,4,40,8,77,28,The company designed the system so they are at fault,3,,,,,,,,1,,1,,31,3,,1,15,568f260a7d961b000d96976c
2023-08-13 17:33:22,2023-08-13 17:41:30,0,98.35.193.183,100,488,1,2023-08-13 17:41:31,R_3EzhsySma2ZLF1N,,,,,37.6652,-121.8734,anonymous,EN,1,61004e962509f21ce295df3d,2,2,2,4,5,85,85,100,65,The company is more liable for the accident because they promoted the car to be able to be driven as autopilot to let the driver drive at ease. The car missed something that shouldn't have been missed and causes the crash. It shows that the car has not been properly tested to be released to the public.,2,,,,,,,,2,,2,,26,4,,1,34,61004e962509f21ce295df3d
2023-08-13 17:37:30,2023-08-13 17:41:55,0,35.151.17.17,100,264,1,2023-08-13 17:41:55,R_1q3WoPbJ5UXeBnX,,,,,34.5891,-86.9909,anonymous,EN,1,6400f80179f04251a962fd22,2,2,2,4,,,,,,,,6,60,90,80,80,"I believe both are equally liable, as both the product of Aeon, the company, and the human driver failed to notice the stop sign.",1,1,,3,,21,1,,1,50,6400f80179f04251a962fd22
2023-08-13 17:37:18,2023-08-13 17:42:19,0,99.174.165.54,100,300,1,2023-08-13 17:42:19,R_ZJp3CgWqwJtQrPH,,,,,37.9668,-87.4912,anonymous,EN,1,631b384ac14d3336cbfb9843,2,2,2,4,4,28,70,49,51,"The human driver should have paid attention to the fact that the autopilot was disengaged. ",2,,,,,,,,1,,3,,47,3,,1,33,631b384ac14d3336cbfb9843
2023-08-13 17:37:27,2023-08-13 17:42:20,0,97.71.246.195,100,292,1,2023-08-13 17:42:20,R_1LYb2xWCgfX2N06,,,,,28.2694,-81.4742,anonymous,EN,1,60fd562c1b4e51c7ccb8b946,2,2,2,4,,,,,,,,5,60,50,59,50,"I am sure the company would have something along the lines of “make sure you’re paying attention” however, in this case the system failed and it’s possible the humans reaction time would be slower than the cars speed due to the car reacting at the time of a computer instead of human",1,2,,3,,24,2,,1,34,60fd562c1b4e51c7ccb8b946
2023-08-13 17:36:39,2023-08-13 17:42:52,0,67.191.215.123,100,372,1,2023-08-13 17:42:53,R_215K0wN1JsrGFeb,,,,,33.3963,-84.5689,anonymous,EN,1,60fec8e37cdc49061e112c20,2,2,2,4,,,,,,,,4,30,71,50,93,"The human looked down at their phone, something that's typically prohibited while driving. If Aeon ran a stop sign all on their own, then the company would be more liable. ",1,2,,1,,25,5,,1,32,60fec8e37cdc49061e112c20
2023-08-13 17:39:43,2023-08-13 17:43:02,0,174.198.198.146,100,198,1,2023-08-13 17:43:02,R_2CVoW8V9y6Z1aJO,,,,,40.7066,-74.2027,anonymous,EN,1,63d151405b8e78eace7a44c3,2,2,2,4,,,,,,,,5,69,100,84,100,The human is ultimately more liable because they chose the AV.,2,2,,3,,54,2,,1,38,63d151405b8e78eace7a44c3
2023-08-13 17:39:55,2023-08-13 17:43:19,0,86.63.136.26,100,203,1,2023-08-13 17:43:19,R_3hGc8hbBVioXYbX,,,,,36.0949,-94.1678,anonymous,EN,1,63d3faa986d66febfff61e73,2,2,2,4,,,,,,,,4,10,100,0,100,"I think the human is still responsible when they are behind the wheel. They have taken the risks anytime they are driving. ",2,2,,3,,33,5,,1,19,63d3faa986d66febfff61e73
2023-08-13 17:39:49,2023-08-13 17:43:26,0,50.89.17.59,100,216,1,2023-08-13 17:43:26,R_2rV1rtnyiIV92Fi,,,,,28.2733,-81.1999,anonymous,EN,1,5c9567e99d4cac0011609746,2,2,2,1,,,,,,,,6,75,70,19,100,The human driver will likely be hld accountable because he is in ownership of the car and the company simply created the car. He chose to look at his phone and could not react as a result.,1,1,,3,,24,4,,1,50,5c9567e99d4cac0011609746
2023-08-13 17:35:07,2023-08-13 17:43:33,0,73.215.199.239,100,506,1,2023-08-13 17:43:34,R_2PptDo2evdXapqV,,,,,40.8566,-74.8389,anonymous,EN,1,5cf4bf2e7e2e1400177f2cc8,2,2,2,2,6,100,62,97,81,"I think Aron and the human are equally responsible for the accident. If the human was not looking down, he would have seen the sign and if the car auto pilot system couldn't see the sign, it should have a warning alarm.",3,,,,,,,,2,,3,,36,3,,1,43,5cf4bf2e7e2e1400177f2cc8
2023-08-13 17:22:30,2023-08-13 17:43:37,0,67.143.160.169,100,1266,1,2023-08-13 17:43:37,R_3suiFqLKSCDiVSY,,,,,36.1671,-86.7861,anonymous,EN,1,5eeba783164680119f2e30c7,2,2,2,4,3,79,50,93,25,"The company is more responsible because the car is built through an automated Autopilot system, which, in turn, is not very trustworthy to use because of what has happened. It just wasn't programmed the correct and honest way because it failed to see the stop sign when it was suppose to.",2,,,,,,,,2,,7,,27,1,,2,0,5eeba783164680119f2e30c7
2023-08-13 17:34:12,2023-08-13 17:43:47,0,108.39.125.186,100,575,1,2023-08-13 17:43:48,R_3015LHNQdGQTpFz,,,,,36.8558,-76.0042,anonymous,EN,1,5f01b9892b6ad501d933a117,2,2,2,4,,,,,,,,4,10,100,51,100,Aeon is more liable for the accident because they are selling the idea that Aeon Copilot will help automate the vehicle and that is probably the reason why the driver bought into the idea.,2,2,,5,,48,4,,1,0,5f01b9892b6ad501d933a117
2023-08-13 17:37:50,2023-08-13 17:43:50,0,73.95.139.35,100,359,1,2023-08-13 17:43:50,R_QfZlzV9I51rBumd,,,,,38.8374,-104.8225,anonymous,EN,1,5f7b85c23139fa143589b106,2,2,2,4,4,100,39,100,57,"The company and the programmer are responsible for the accident. However, if the self driving system is something that the driver has not been using for very long, he also carries a certain amount of resonsibility since he has not been using the AI Autopilot long enough to secure trust.",2,,,,,,,,2,,3,,51,4,,1,35,5f7b85c23139fa143589b106
2023-08-13 17:33:35,2023-08-13 17:43:55,0,72.199.51.98,100,620,1,2023-08-13 17:43:56,R_3jYW0vu16EVfWUr,,,,,32.6917,-117.1151,anonymous,EN,1,5f9a25f467c68d13eaa9cc5c,2,2,2,2,6,100,36,100,62,"Aeon  is responsible because the car was supposed to auto pilot and failed to do what it is made to do. ",2,,,,,,,,1,,4,,32,1,,1,38,5f9a25f467c68d13eaa9cc5c
2023-08-13 17:40:51,2023-08-13 17:43:58,0,108.53.182.40,100,187,1,2023-08-13 17:43:59,R_0ctwlEdcsLZb5EB,,,,,40.3876,-74.3903,anonymous,EN,1,5a2a0c19443c10000121122a,2,2,3,4,5,79,31,85,32,Because we are relying on technology of the car to keep us safe so aeon should be held more liable,2,,,,,,,,1,,3,,30,4,,1,71,5a2a0c19443c10000121122a
2023-08-13 17:41:43,2023-08-13 17:44:13,0,68.46.171.144,100,150,1,2023-08-13 17:44:14,R_29lj1NjIIQBReh3,,,,,42.2709,-83.7268,anonymous,EN,1,5db598f48cf15c000b57eb36,2,2,2,4,,,,,,,,5,61,80,19,100,The human is always liable for their vehicle that they CAN CONTROL.,1,2,,3,,30,4,,1,29,5db598f48cf15c000b57eb36
2023-08-13 17:40:58,2023-08-13 17:44:49,0,73.187.94.104,100,230,1,2023-08-13 17:44:49,R_sbUodA9v4wHPd73,,,,,40.0756,-76.6914,anonymous,EN,1,5c7307403065320001bdf00f,2,2,2,4,6,90,72,90,70,If Aeon is supposed to be responsible for driving the car on autopilot I think they are responsible more than the human. The human is somewhat responsible because he should have been paying more attention.,2,,,,,,,,1,,3,,57,3,,1,57,5c7307403065320001bdf00f
2023-08-13 17:42:05,2023-08-13 17:44:59,0,76.14.155.187,100,173,1,2023-08-13 17:44:59,R_3kp7sayARZBYCIh,,,,,38.5662,-121.5525,anonymous,EN,1,5ee68971dde4ef4056079287,2,2,2,4,,,,,,,,4,92,37,90,16,thats the whole point of automation. thats on them,1,1,,3,,36,4,,1,72,5ee68971dde4ef4056079287
2023-08-13 17:40:40,2023-08-13 17:45:10,0,76.91.179.156,100,269,1,2023-08-13 17:45:11,R_28Y5haFVWjfheZF,,,,,34.0544,-118.2441,anonymous,EN,1,610053275aabdb10c6bc5fac,2,2,2,4,,,,,,,,4,57,84,40,83,"I believe the human driver is more capable, because the Aeon's capacity isn't has hight to determine the stop sign. ",1,2,,4,,27,4,,1,45,610053275aabdb10c6bc5fac
2023-08-13 17:42:19,2023-08-13 17:45:36,0,71.8.157.99,100,196,1,2023-08-13 17:45:36,R_2BbLW6b0AcP5Xfx,,,,,43.1205,-89.3523,anonymous,EN,1,5ea9ccc2b899a211af8fecc5,2,2,2,4,,,,,,,,3,26,100,30,100,Because the human driver should always pay attention,2,2,,3,,43,2,,1,34,5ea9ccc2b899a211af8fecc5
2023-08-13 17:41:39,2023-08-13 17:45:37,0,104.244.243.1,100,237,1,2023-08-13 17:45:37,R_31YNLxK2ZS5Yrlo,,,,,41.8797,-87.6435,anonymous,EN,1,5b2474e65b5c0900018a72ea,2,1,2,1,4,17,100,100,100,"The human driver is responsible because even when youre car is in autopilot, you should always be looking at the road and ready to act at a moments notice.",2,,,,,,,,3,,3,,23,4,,2,68,5b2474e65b5c0900018a72ea
2023-08-13 17:43:20,2023-08-13 17:46:05,0,136.54.103.186,100,164,1,2023-08-13 17:46:05,R_2fesBVJu0INbGOP,,,,,35.7704,-78.6293,anonymous,EN,1,5befb6e27c387400016983bf,2,2,2,4,,,,,,,,4,100,62,100,62,He was being driven by the car so he should assume it can handle that task.,1,1,,3,,36,4,,1,74,5befb6e27c387400016983bf
2023-08-13 17:38:21,2023-08-13 17:46:13,0,174.105.105.167,100,471,1,2023-08-13 17:46:13,R_25zSvmBAuQEPSXk,,,,,40.72,-82.8038,anonymous,EN,1,5d46619eb30ae50001578288,2,2,2,2,4,0,100,10,100,The person is more liable because the person is ultimately in control of the machine. Even with an autopilot people are meant to be paying attention.,3,,,,,,,,2,,3,,31,1,,1,30,5d46619eb30ae50001578288
2023-08-13 17:40:07,2023-08-13 17:46:42,0,68.205.133.83,100,394,1,2023-08-13 17:46:42,R_2UYGHAHhlmeU3er,,,,,28.5727,-80.8206,anonymous,EN,1,6286e56db20530b65816d1d7,2,2,1,4,6,94,51,94,51,"Maybe it should be shared responsibility.  I'm not real familiar with auto cars.  But I would think the human should be monitoring what is going on. Not just ignoring every thing,",2,,,,,,,,2,,3,,66,1,,1,23,6286e56db20530b65816d1d7
2023-08-13 17:40:07,2023-08-13 17:46:46,0,71.237.138.47,100,399,1,2023-08-13 17:46:46,R_26nLcPFmgJ78f9s,,,,,45.6435,-122.6247,anonymous,EN,1,57a2caf8275be6000135b3aa,2,2,2,4,5,77,90,73,90,I think that the human driver is responsible because he should not have been distracted by his phone. That is a basic rule of driving.,3,,,,,,,,2,,1,,31,4,,1,40,57a2caf8275be6000135b3aa
2023-08-13 17:41:18,2023-08-13 17:47:14,0,75.167.100.14,100,356,1,2023-08-13 17:47:14,R_3GliGhw4xYWgEzR,,,,,33.3874,-112.0998,anonymous,EN,1,5fd0ef1dbfdf0801f669f642,3,2,2,4,4,52,51,52,52,My decisions were based off deductible reasoning.,2,,,,,,,,1,,5,,32,4,,1,54,5fd0ef1dbfdf0801f669f642
2023-08-13 17:42:56,2023-08-13 17:47:20,0,75.54.118.10,100,264,1,2023-08-13 17:47:21,R_28CLIidvR1EhEB1,,,,,34.0544,-118.2441,anonymous,EN,1,5b81c0bc35c967000197117f,2,2,2,4,4,53,100,53,100,"The human driver knows the capabilities of the vehicle. Although Aeon should have detected the stop sign, the human is ultimately responsible for trusting the vehicle in the first place. ",2,,,,,,,,2,,1,,55,5,,1,8,5b81c0bc35c967000197117f
2023-08-13 17:43:46,2023-08-13 17:47:22,0,68.101.196.137,100,215,1,2023-08-13 17:47:22,R_RX2fcqqdawKfFPr,,,,,33.1922,-117.3852,anonymous,EN,1,5dcecc2d1986eb01a449f4e4,2,2,2,4,6,20,100,0,100,"I believe that ultimately the human driver needs to bear responsibility. Driver's should not overly rely on the autopilot feature. ",2,,,,,,,,2,,3,,51,4,,1,20,5dcecc2d1986eb01a449f4e4
2023-08-13 17:44:06,2023-08-13 17:47:29,0,108.226.183.227,100,202,1,2023-08-13 17:47:29,R_20Y8wukHbcN1Sm1,,,,,29.7646,-95.3657,anonymous,EN,1,6296295f57c07906c9052955,2,2,2,4,,,,,,,,4,30,100,0,100,"I think that the human is responsible no matter what. In the end, we have to still pay attention to our surroundings, because we know computers and machinery are not perfect. ",2,1,,3,,37,4,,1,25,6296295f57c07906c9052955
2023-08-13 17:42:14,2023-08-13 17:47:47,0,173.169.176.153,100,332,1,2023-08-13 17:47:47,R_3EbsOL09NgXbFbQ,,,,,27.9822,-81.6706,anonymous,EN,1,5e2fb94ce0512d563ef46990,2,2,2,4,,,,,,,,4,30,60,40,60,"If the vehicle manual states that the driver should pay attention to the controls and the road then I believe that the driver would be responsible for distraction. Although, the automated portion of the vehicle may have 'conditioned' the driver to believe that the vehicle would stop so I think in that case if it failed then the manufacturer should share the burden.",1,1,,3,,47,2,,1,65,5e2fb94ce0512d563ef46990
2023-08-13 17:43:14,2023-08-13 17:47:57,0,75.40.24.179,100,282,1,2023-08-13 17:47:58,R_3MnVIlpArLmPzcA,,,,,32.4581,-84.9963,anonymous,EN,1,6143e022ec8dfbce17b7e211,2,2,1,4,5,86,73,90,78,"The driver/owner will be resposible for everything, like the captain of a ship.",2,,,,,,,,1,,3,,68,5,,1,17,6143e022ec8dfbce17b7e211
2023-08-13 17:44:19,2023-08-13 17:48:09,0,76.141.76.163,100,230,1,2023-08-13 17:48:10,R_Rw9Je9sxKaXtVgR,,,,,41.9778,-88.2018,anonymous,EN,1,60ff6b0720fb724536710e7a,2,2,2,4,,,,,,,,4,32,74,10,91,"As I do not know the capabilities of Aeon's Copilot, I would assume that it is still the human's responsibility to monitor the driving environment no matter the amount of automation. so the human is more liable",2,2,,2,,22,4,,1,9,60ff6b0720fb724536710e7a
2023-08-13 17:46:02,2023-08-13 17:48:16,0,75.97.21.73,100,134,1,2023-08-13 17:48:17,R_3ex0iLbAfrQJgUe,,,,,40.7079,-75.1507,anonymous,EN,1,63ea4d3b920d683ac61a1ea0,2,2,2,3,4,30,86,22,83,"I think since the human took away their attention from driving they became liable at that point in time. If maybe let’s say the scenario we’re a medical condition causing the driver to doze or go unconscious then I would put more liability on the vehicle. ",3,,,,,,,,1,,3,,31,4,,1,14,63ea4d3b920d683ac61a1ea0
2023-08-13 17:43:04,2023-08-13 17:48:18,0,74.196.39.100,100,313,1,2023-08-13 17:48:18,R_xlVr6nJaeKt143L,,,,,35.6206,-77.3944,anonymous,EN,1,5de337dd9e19bf355ef6fdb2,2,2,2,4,,,,,,,,3,0,92,0,100,It doesn't seem like this car has the ability to perceive stop signs.  It is 100% on the driver,2,1,,3,,26,5,,1,49,5de337dd9e19bf355ef6fdb2
2023-08-13 17:46:07,2023-08-13 17:48:37,0,75.128.195.145,100,149,1,2023-08-13 17:48:37,R_3kMSQCeWs1E8Wtp,,,,,43.4219,-88.1847,anonymous,EN,1,628eabb243fb4a73e29d9385,2,2,2,4,5,41,55,45,59,The human is more responsible because they have the ability to override the software and react to things they are witnessing first hand.,2,,,,,,,,1,,3,,28,4,,1,39,628eabb243fb4a73e29d9385
2023-08-13 17:43:26,2023-08-13 17:48:40,0,47.157.80.184,100,313,1,2023-08-13 17:48:40,R_2t8OtGVWwvQR8JD,,,,,34.0233,-117.8512,anonymous,EN,1,62cb76cd3b91e1939412ef25,2,2,1,4,,,,,,,,4,68,82,62,77,"I think the human driver is more at fault because even though Aeon's car has an automated system, the human should still be responsible because he was not paying attention when driving. Unless the automated system is at full control of driving the car, I think that the human driver would need to be accountable for this situation.",2,1,,2,,20,3,,1,66,62cb76cd3b91e1939412ef25
2023-08-13 17:46:03,2023-08-13 17:48:48,0,71.85.128.17,100,164,1,2023-08-13 17:48:48,R_us2FUG7l7qzGhP3,,,,,35.7113,-82.5467,anonymous,EN,1,5b121d05c85dc40001621bc6,2,2,2,4,,,,,,,,2,100,9,100,19,It shouldn't be making live threatening decisions like it did in this scenario.,1,1,,3,,27,2,,1,22,5b121d05c85dc40001621bc6
2023-08-13 17:45:38,2023-08-13 17:48:48,0,172.59.193.27,100,189,1,2023-08-13 17:48:48,R_0k8YBNRkAGAiZl7,,,,,32.7797,-96.8022,anonymous,EN,1,62db80a54255407140d8843e,2,2,2,4,,,,,,,,6,0,0,100,100,"the human is responsible for immediate damages or court etc and the company goofed back to the drawing board ",2,1,,3,,40,3,,1,32,62db80a54255407140d8843e
2023-08-13 17:44:26,2023-08-13 17:48:53,0,67.224.61.24,100,267,1,2023-08-13 17:48:54,R_1mmFWzeqixEzHEb,,,,,41.3218,-81.5412,anonymous,EN,1,59d6b8f103203500011ace12,2,2,2,4,,,,,,,,4,93,100,93,100,I think the human looked at the text and caused the accident.,2,2,,3,,59,5,,1,11,59d6b8f103203500011ace12
2023-08-13 17:46:32,2023-08-13 17:49:02,0,24.155.175.172,100,149,1,2023-08-13 17:49:02,R_2cjgO7HkgCMeJpp,,,,,31.9919,-102.0651,anonymous,EN,1,5f8c8f0720fed940a6472d4a,2,2,2,4,,,,,,,,5,73,40,89,60,I think that the company is liable for the accident since their software is supposed to detect stop signs.,1,2,,3,,27,4,,1,67,5f8c8f0720fed940a6472d4a
